GEOID10,Affordable_Solar,Community_Distributed_Generation,Expected_KWh_Annual_Production,Total_Nameplate_kW_DC,Project_Cost,cost_Kw,Project_Number
36119014300,1,0,1573005.48,1340.18,32771.1026744,4282.62395064,172
36119014604,0,1,951244.72,810.4,49804.79,4659.39806406,68
36119014701,0,0,2414963.29,2057.46,38265.7565289,4585.69573421,242
36119014804,0,0,701371.75,597.55,34229.5824324,4360.58160932,74
36119014805,0,0,50345.99,42.89,27707.42,4741.47138512,7
36119014806,0,0,3521.52,3.0,24066.0,8022.0,1
36119014808,0,2,2265546.41,1930.18,52784.3676761,4643.27712851,142
36119014903,0,0,437754.3,372.94,71910.284,4007.12116447,20
36119014907,0,0,273281.69,232.82,175994.176667,4674.10261279,6
36119014908,0,0,85731.39,73.05,37509.3066667,4965.08838589,9
36119015000,0,0,221748.94,188.91,60684.9458333,4256.17936409,12
36121970100,0,0,28489.11,24.27,19576.6725,3194.78914956,4
36121970200,0,0,242591.64,206.68,39014.0415789,4195.06274562,19
36121970300,0,0,62841.53,53.54,50108.5,4084.85576923,4
36121970400,0,0,177254.56,151.02,48363.0014286,4088.1525823,14
36121970500,0,0,107332.42,91.44,28388.5666667,3920.05225345,12
36121970600,0,0,43531.86,37.09,18350.765,4366.51987623,8
36121970700,0,0,113833.13,96.98,81565.8,4070.10115945,5
36121970800,0,0,99183.6,84.51,33755.1422222,3801.19767338,9
36121970900,0,0,61060.81,52.02,85722.3333333,4101.93818195,3
36121971000,0,0,12442.7,10.6,38877.0,3667.64150943,1
36121971100,0,0,55857.19,47.59,27557.7671429,5268.79974137,7
36123150100,0,0,108580.2,92.5,124382.696667,3638.61478289,3
36123150300,0,0,449851.85,383.25,55200.2945833,4297.52927686,24
36123150400,1,0,900021.86,766.74,45011.4772414,3814.94983177,58
36123150500,1,0,230430.66,196.31,38249.445,3586.87702704,18
